Freq.	V(n009)
1.16144861384034e-01	(-5.23085606264520e+02dB,2.05006532044012e-01°)
1.16412602941049e-01	(-5.23005605894073e+02dB,2.04338565473118e-01°)
1.16680961706096e-01	(-5.22925605530957e+02dB,2.03671682245828e-01°)
1.16949939101987e-01	(-5.22845605168551e+02dB,2.03005878886331e-01°)
1.17219536554813e-01	(-5.22765604805416e+02dB,2.02341151615790e-01°)
1.17489755493952e-01	(-5.22685604445625e+02dB,2.01677497082082e-01°)
1.17760597352080e-01	(-5.22605604088313e+02dB,2.01014911830029e-01°)
1.18032063565172e-01	(-5.22525603730242e+02dB,2.00353392321025e-01°)
1.18304155572516e-01	(-5.22445603371761e+02dB,1.99692934804928e-01°)
1.18576874816716e-01	(-5.22365603018948e+02dB,1.99033536285658e-01°)
1.18850222743701e-01	(-5.22285602668358e+02dB,1.98375192721756e-01°)
1.19124200802737e-01	(-5.22205602318293e+02dB,1.97717901050752e-01°)
1.19398810446427e-01	(-5.22125601972686e+02dB,1.97061657445975e-01°)
1.19674053130724e-01	(-5.22045601621226e+02dB,1.96406458557430e-01°)
1.19949930314937e-01	(-5.21965601277233e+02dB,1.95752301051515e-01°)
1.20226443461741e-01	(-5.21885600937523e+02dB,1.95099181410032e-01°)
1.20503594037179e-01	(-5.21805600586989e+02dB,1.94447095740575e-01°)
1.20781383510677e-01	(-5.21725600251583e+02dB,1.93796041307496e-01°)
1.21059813355048e-01	(-5.21645599908681e+02dB,1.93146014103988e-01°)
1.21338885046497e-01	(-5.21565599575781e+02dB,1.92497011218733e-01°)
1.21618600064636e-01	(-5.21485599243027e+02dB,1.91849028554797e-01°)
1.21898959892486e-01	(-5.21405598903132e+02dB,1.91202063100237e-01°)
1.22179966016487e-01	(-5.21325598573505e+02dB,1.90556111177575e-01°)
1.22461619926504e-01	(-5.21245598243543e+02dB,1.89911169713823e-01°)
1.22743923115840e-01	(-5.21165597909896e+02dB,1.89267234933117e-01°)
1.23026877081238e-01	(-5.21085597588756e+02dB,1.88624303790663e-01°)
1.23310483322890e-01	(-5.21005597261818e+02dB,1.87982372441745e-01°)
1.23594743344450e-01	(-5.20925596934585e+02dB,1.87341437672213e-01°)
1.23879658653036e-01	(-5.20845596609494e+02dB,1.86701496237005e-01°)
1.24165230759240e-01	(-5.20765596289517e+02dB,1.86062544643178e-01°)
1.24451461177138e-01	(-5.20685595975824e+02dB,1.85424579598915e-01°)
1.24738351424294e-01	(-5.20605595648481e+02dB,1.84787597157761e-01°)
1.25025903021771e-01	(-5.20525595335743e+02dB,1.84151594828967e-01°)
1.25314117494141e-01	(-5.20445595022906e+02dB,1.83516568610980e-01°)
1.25602996369487e-01	(-5.20365594707479e+02dB,1.82882515558830e-01°)
1.25892541179416e-01	(-5.20285594393713e+02dB,1.82249431723532e-01°)
1.26182753459066e-01	(-5.20205594081973e+02dB,1.81617314264356e-01°)
1.26473634747114e-01	(-5.20125593774864e+02dB,1.80986159792853e-01°)
1.26765186585784e-01	(-5.20045593467015e+02dB,1.80355964605472e-01°)
1.27057410520853e-01	(-5.19965593159234e+02dB,1.79726725674444e-01°)
1.27350308101665e-01	(-5.19885592856177e+02dB,1.79098439733616e-01°)
1.27643880881134e-01	(-5.19805592551140e+02dB,1.78471103152309e-01°)
1.27938130415752e-01	(-5.19725592250315e+02dB,1.77844712812980e-01°)
1.28233058265601e-01	(-5.19645591947256e+02dB,1.77219265317416e-01°)
1.28528665994361e-01	(-5.19565591649300e+02dB,1.76594757405081e-01°)
1.28824955169313e-01	(-5.19485591352451e+02dB,1.75971185645714e-01°)
1.29121927361353e-01	(-5.19405591057353e+02dB,1.75348546960986e-01°)
1.29419584144998e-01	(-5.19325590762270e+02dB,1.74726837842286e-01°)
1.29717927098395e-01	(-5.19245590466190e+02dB,1.74106055002484e-01°)
1.30016957803328e-01	(-5.19165590176605e+02dB,1.73486195279003e-01°)
1.30316677845229e-01	(-5.19085589888156e+02dB,1.72867255522282e-01°)
1.30617088813183e-01	(-5.19005589595631e+02dB,1.72249231813720e-01°)
1.30918192299940e-01	(-5.18925589308627e+02dB,1.71632121551605e-01°)
1.31219989901919e-01	(-5.18845589021159e+02dB,1.71015921249012e-01°)
1.31522483219223e-01	(-5.18765588738335e+02dB,1.70400627510003e-01°)
1.31825673855640e-01	(-5.18685588451262e+02dB,1.69786237136655e-01°)
1.32129563418657e-01	(-5.18605588169944e+02dB,1.69172747059628e-01°)
1.32434153519466e-01	(-5.18525587889345e+02dB,1.68560153805814e-01°)
1.32739445772973e-01	(-5.18445587608410e+02dB,1.67948454169240e-01°)
1.33045441797808e-01	(-5.18365587328256e+02dB,1.67337644832199e-01°)
1.33352143216331e-01	(-5.18285587054813e+02dB,1.66727722822326e-01°)
1.33659551654643e-01	(-5.18205586777555e+02dB,1.66118684764862e-01°)
1.33967668742593e-01	(-5.18125586505080e+02dB,1.65510527300899e-01°)
1.34276496113785e-01	(-5.18045586230852e+02dB,1.64903247382560e-01°)
1.34586035405594e-01	(-5.17965585959690e+02dB,1.64296841620752e-01°)
1.34896288259164e-01	(-5.17885585689058e+02dB,1.63691307034444e-01°)
1.35207256319427e-01	(-5.17805585418225e+02dB,1.63086640249427e-01°)
1.35518941235103e-01	(-5.17725585150804e+02dB,1.62482837940026e-01°)
1.35831344658714e-01	(-5.17645584886978e+02dB,1.61879897266164e-01°)
1.36144468246594e-01	(-5.17565584622253e+02dB,1.61277814849161e-01°)
1.36458313658891e-01	(-5.17485584356172e+02dB,1.60676587218554e-01°)
1.36772882559584e-01	(-5.17405584092701e+02dB,1.60076211645148e-01°)
1.37088176616484e-01	(-5.17325583838641e+02dB,1.59476684778454e-01°)
1.37404197501250e-01	(-5.17245583575024e+02dB,1.58878003356872e-01°)
1.37720946889394e-01	(-5.17165583310634e+02dB,1.58280163888444e-01°)
1.38038426460287e-01	(-5.17085583056612e+02dB,1.57683163983633e-01°)
1.38356637897177e-01	(-5.17005582800549e+02dB,1.57087000049670e-01°)
1.38675582887188e-01	(-5.16925582541698e+02dB,1.56491668648034e-01°)
1.38995263121334e-01	(-5.16845582291013e+02dB,1.55897167167892e-01°)
1.39315680294529e-01	(-5.16765582041876e+02dB,1.55303492286652e-01°)
1.39636836105593e-01	(-5.16685581796866e+02dB,1.54710640664648e-01°)
1.39958732257261e-01	(-5.16605581542729e+02dB,1.54118609162153e-01°)
1.40281370456195e-01	(-5.16525581296209e+02dB,1.53527394905574e-01°)
1.40604752412990e-01	(-5.16445581048528e+02dB,1.52936994455387e-01°)
1.40928879842186e-01	(-5.16365580795088e+02dB,1.52347404663671e-01°)
1.41253754462274e-01	(-5.16285580553180e+02dB,1.51758622890279e-01°)
1.41579377995707e-01	(-5.16205580308324e+02dB,1.51170645532044e-01°)
1.41905752168908e-01	(-5.16125580065612e+02dB,1.50583469694689e-01°)
1.42232878712281e-01	(-5.16045579829157e+02dB,1.49997092257425e-01°)
1.42560759360218e-01	(-5.15965579587667e+02dB,1.49411509943185e-01°)
1.42889395851109e-01	(-5.15885579345503e+02dB,1.48826719730449e-01°)
1.43218789927353e-01	(-5.15805579106136e+02dB,1.48242718573787e-01°)
1.43548943335364e-01	(-5.15725578871123e+02dB,1.47659503436435e-01°)
1.43879857825583e-01	(-5.15645578640760e+02dB,1.47077071141574e-01°)
1.44211535152486e-01	(-5.15565578400342e+02dB,1.46495418400625e-01°)
1.44543977074591e-01	(-5.15485578171995e+02dB,1.45914542608619e-01°)
1.44877185354475e-01	(-5.15405577935263e+02dB,1.45334440185092e-01°)
1.45211161758773e-01	(-5.15325577707187e+02dB,1.44755108461952e-01°)
1.45545908058195e-01	(-5.15245577473523e+02dB,1.44176543929867e-01°)
1.45881426027534e-01	(-5.15165577248612e+02dB,1.43598744006391e-01°)
1.46217717445670e-01	(-5.15085577020309e+02dB,1.43021705329056e-01°)
1.46554784095590e-01	(-5.15005576793625e+02dB,1.42445424888336e-01°)
1.46892627764385e-01	(-5.14925576566808e+02dB,1.41869899635966e-01°)
1.47231250243271e-01	(-5.14845576341016e+02dB,1.41295126459963e-01°)
1.47570653327588e-01	(-5.14765576117850e+02dB,1.40721102493810e-01°)
1.47910838816819e-01	(-5.14685575897005e+02dB,1.40147824629854e-01°)
1.48251808514594e-01	(-5.14605575676922e+02dB,1.39575289694980e-01°)
1.48593564228699e-01	(-5.14525575461090e+02dB,1.39003494816862e-01°)
1.48936107771090e-01	(-5.14445575238717e+02dB,1.38432436751467e-01°)
1.49279440957898e-01	(-5.14365575022090e+02dB,1.37862112745407e-01°)
1.49623565609442e-01	(-5.14285574804790e+02dB,1.37292519586683e-01°)
1.49968483550236e-01	(-5.14205574593107e+02dB,1.36723654366682e-01°)
1.50314196609001e-01	(-5.14125574376302e+02dB,1.36155513943611e-01°)
1.50660706618673e-01	(-5.14045574165432e+02dB,1.35588095457211e-01°)
1.51008015416413e-01	(-5.13965573950476e+02dB,1.35021395631789e-01°)
1.51356124843619e-01	(-5.13885573741288e+02dB,1.34455411767939e-01°)
1.51705036745932e-01	(-5.13805573530791e+02dB,1.33890140762015e-01°)
1.52054752973248e-01	(-5.13725573322121e+02dB,1.33325579609365e-01°)
1.52405275379728e-01	(-5.13645573110826e+02dB,1.32761725271727e-01°)
1.52756605823806e-01	(-5.13565572906050e+02dB,1.32198574712781e-01°)
1.53108746168201e-01	(-5.13485572700346e+02dB,1.31636125165716e-01°)
1.53461698279928e-01	(-5.13405572495871e+02dB,1.31074373492762e-01°)
1.53815464030302e-01	(-5.13325572289729e+02dB,1.30513316628830e-01°)
1.54170045294954e-01	(-5.13245572089420e+02dB,1.29952951816015e-01°)
1.54525443953840e-01	(-5.13165571886306e+02dB,1.29393275926003e-01°)
1.54881661891247e-01	(-5.13085571683290e+02dB,1.28834286013587e-01°)
1.55238700995807e-01	(-5.13005571482978e+02dB,1.28275979207460e-01°)
1.55596563160506e-01	(-5.12925571285899e+02dB,1.27718352446482e-01°)
1.55955250282694e-01	(-5.12845571088831e+02dB,1.27161402802189e-01°)
1.56314764264094e-01	(-5.12765570894784e+02dB,1.26605127446920e-01°)
1.56675107010813e-01	(-5.12685570690378e+02dB,1.26049523007226e-01°)
1.57036280433354e-01	(-5.12605570497077e+02dB,1.25494587092007e-01°)
1.57398286446620e-01	(-5.12525570307216e+02dB,1.24940316479415e-01°)
1.57761126969933e-01	(-5.12445570114844e+02dB,1.24386708226326e-01°)
1.58124803927037e-01	(-5.12365569918415e+02dB,1.23833759447704e-01°)
1.58489319246110e-01	(-5.12285569727742e+02dB,1.23281467140806e-01°)
1.58854674859776e-01	(-5.12205569542338e+02dB,1.22729828539711e-01°)
1.59220872705115e-01	(-5.12125569352466e+02dB,1.22178840543589e-01°)
1.59587914723672e-01	(-5.12045569165653e+02dB,1.21628500410572e-01°)
1.59955802861465e-01	(-5.11965568979066e+02dB,1.21078804990800e-01°)
1.60324539069002e-01	(-5.11885568790992e+02dB,1.20529751501786e-01°)
1.60694125301286e-01	(-5.11805568605488e+02dB,1.19981337078877e-01°)
1.61064563517825e-01	(-5.11725568422434e+02dB,1.19433558652960e-01°)
1.61435855682647e-01	(-5.11645568238285e+02dB,1.18886413606004e-01°)
1.61808003764305e-01	(-5.11565568056855e+02dB,1.18339898660700e-01°)
1.62181009735891e-01	(-5.11485567871600e+02dB,1.17794011171891e-01°)
1.62554875575047e-01	(-5.11405567698270e+02dB,1.17248748424440e-01°)
1.62929603263970e-01	(-5.11325567515721e+02dB,1.16704107033491e-01°)
1.63305194789432e-01	(-5.11245567332172e+02dB,1.16160084384186e-01°)
1.63681652142779e-01	(-5.11165567157539e+02dB,1.15616677627296e-01°)
1.64058977319952e-01	(-5.11085566982953e+02dB,1.15073883919114e-01°)
1.64437172321491e-01	(-5.11005566804835e+02dB,1.14531700183038e-01°)
1.64816239152549e-01	(-5.10925566627085e+02dB,1.13990123714080e-01°)
1.65196179822900e-01	(-5.10845566457608e+02dB,1.13449151626819e-01°)
1.65576996346951e-01	(-5.10765566281154e+02dB,1.12908780970446e-01°)
1.65958690743754e-01	(-5.10685566111866e+02dB,1.12369008875471e-01°)
1.66341265037015e-01	(-5.10605565942045e+02dB,1.11829832651268e-01°)
1.66724721255104e-01	(-5.10525565770497e+02dB,1.11291249224129e-01°)
1.67109061431069e-01	(-5.10445565602796e+02dB,1.10753255830611e-01°)
1.67494287602642e-01	(-5.10365565432264e+02dB,1.10215849660545e-01°)
1.67880401812254e-01	(-5.10285565260195e+02dB,1.09679027606091e-01°)
1.68267406107045e-01	(-5.10205565096059e+02dB,1.09142787287600e-01°)
1.68655302538872e-01	(-5.10125564930416e+02dB,1.08607125660847e-01°)
1.69044093164324e-01	(-5.10045564766725e+02dB,1.08072039752750e-01°)
1.69433780044731e-01	(-5.09965564601273e+02dB,1.07537526659718e-01°)
1.69824365246172e-01	(-5.09885564435655e+02dB,1.07003583770649e-01°)
1.70215850839493e-01	(-5.09805564272169e+02dB,1.06470208305952e-01°)
1.70608238900310e-01	(-5.09725564112722e+02dB,1.05937397300751e-01°)
1.71001531509027e-01	(-5.09645563951344e+02dB,1.05405147823327e-01°)
1.71395730750840e-01	(-5.09565563789494e+02dB,1.04873457269571e-01°)
1.71790838715757e-01	(-5.09485563636299e+02dB,1.04342322750289e-01°)
1.72186857498599e-01	(-5.09405563480503e+02dB,1.03811741347064e-01°)
1.72583789199018e-01	(-5.09325563313738e+02dB,1.03281710275148e-01°)
1.72981635921508e-01	(-5.09245563158702e+02dB,1.02752226784760e-01°)
1.73380399775412e-01	(-5.09165563007230e+02dB,1.02223288195658e-01°)
1.73780082874935e-01	(-5.09085562846461e+02dB,1.01694891423443e-01°)
1.74180687339159e-01	(-5.09005562695602e+02dB,1.01167033879468e-01°)
1.74582215292048e-01	(-5.08925562545622e+02dB,1.00639712690641e-01°)
1.74984668862463e-01	(-5.08845562390527e+02dB,1.00112925019691e-01°)
1.75388050184174e-01	(-5.08765562233628e+02dB,9.95866680900197e-02°)
1.75792361395867e-01	(-5.08685562090569e+02dB,9.90609393788539e-02°)
1.76197604641161e-01	(-5.08605561937794e+02dB,9.85357355912891e-02°)
1.76603782068614e-01	(-5.08525561782973e+02dB,9.80110542596117e-02°)
1.77010895831740e-01	(-5.08445561644485e+02dB,9.74868927683153e-02°)
1.77418948089014e-01	(-5.08365561490209e+02dB,9.69632478335985e-02°)
1.77827941003890e-01	(-5.08285561348015e+02dB,9.64401171159956e-02°)
1.78237876744807e-01	(-5.08205561202424e+02dB,9.59174976367592e-02°)
1.78648757485203e-01	(-5.08125561056774e+02dB,9.53953867700231e-02°)
1.79060585403527e-01	(-5.08045560911415e+02dB,9.48737816231091e-02°)
1.79473362683250e-01	(-5.07965560769755e+02dB,9.43526793981636e-02°)
1.79887091512876e-01	(-5.07885560622863e+02dB,9.38320774706128e-02°)
1.80301774085954e-01	(-5.07805560481935e+02dB,9.33119730654065e-02°)
1.80717412601090e-01	(-5.07725560339132e+02dB,9.27923632934141e-02°)
1.81134009261958e-01	(-5.07645560202335e+02dB,9.22732455329855e-02°)
1.81551566277311e-01	(-5.07565560061970e+02dB,9.17546169829850e-02°)
1.81970085860996e-01	(-5.07485559920060e+02dB,9.12364748538429e-02°)
1.82389570231961e-01	(-5.07405559787763e+02dB,9.07188164187116e-02°)
1.82810021614272e-01	(-5.07325559645987e+02dB,9.02016389324547e-02°)
1.83231442237119e-01	(-5.07245559513434e+02dB,8.96849397412618e-02°)
1.83653834334832e-01	(-5.07165559370254e+02dB,8.91687159811008e-02°)
1.84077200146893e-01	(-5.07085559234844e+02dB,8.86529649731247e-02°)
1.84501541917945e-01	(-5.07005559100799e+02dB,8.81376839608944e-02°)
1.84926861897805e-01	(-5.06925558966884e+02dB,8.76228702714072e-02°)
1.85353162341479e-01	(-5.06845558837378e+02dB,8.71085211157543e-02°)
1.85780445509167e-01	(-5.06765558703850e+02dB,8.65946338127949e-02°)
1.86208713666284e-01	(-5.06685558573849e+02dB,8.60812056341120e-02°)
1.86637969083464e-01	(-5.06605558443452e+02dB,8.55682337838832e-02°)
1.87068214036577e-01	(-5.06525558314118e+02dB,8.50557156055354e-02°)
1.87499450806739e-01	(-5.06445558184086e+02dB,8.45436483311481e-02°)
1.87931681680324e-01	(-5.06365558055714e+02dB,8.40320293964534e-02°)
1.88364908948977e-01	(-5.06285557924902e+02dB,8.35208558051740e-02°)
1.88799134909627e-01	(-5.06205557799325e+02dB,8.30101251728889e-02°)
1.89234361864495e-01	(-5.06125557670482e+02dB,8.24998345042276e-02°)
1.89670592121112e-01	(-5.06045557544851e+02dB,8.19899813205055e-02°)
1.90107827992327e-01	(-5.05965557422647e+02dB,8.14805628245661e-02°)
1.90546071796322e-01	(-5.05885557296571e+02dB,8.09715762648538e-02°)
1.90985325856621e-01	(-5.05805557171389e+02dB,8.04630189917075e-02°)
1.91425592502106e-01	(-5.05725557049566e+02dB,7.99548883336978e-02°)
1.91866874067026e-01	(-5.05645556927854e+02dB,7.94471815787731e-02°)
1.92309172891013e-01	(-5.05565556804172e+02dB,7.89398959975734e-02°)
1.92752491319091e-01	(-5.05485556690117e+02dB,7.84330290721030e-02°)
1.93196831701689e-01	(-5.05405556563359e+02dB,7.79265777917373e-02°)
1.93642196394658e-01	(-5.05325556448260e+02dB,7.74205398065194e-02°)
1.94088587759275e-01	(-5.05245556330690e+02dB,7.69149122092797e-02°)
1.94536008162263e-01	(-5.05165556212386e+02dB,7.64096923689768e-02°)
1.94984459975802e-01	(-5.05085556097398e+02dB,7.59048776908788e-02°)
1.95433945577536e-01	(-5.05005555977437e+02dB,7.54004653777915e-02°)
1.95884467350596e-01	(-5.04925555862986e+02dB,7.48964528631186e-02°)
1.96336027683602e-01	(-5.04845555744012e+02dB,7.43928374061332e-02°)
1.96788628970681e-01	(-5.04765555631942e+02dB,7.38896163720732e-02°)
1.97242273611482e-01	(-5.04685555519143e+02dB,7.33867870401960e-02°)
1.97696964011183e-01	(-5.04605555403835e+02dB,7.28843468269810e-02°)
1.98152702580507e-01	(-5.04525555293975e+02dB,7.23822930943826e-02°)
1.98609491735734e-01	(-5.04445555180768e+02dB,7.18806229690690e-02°)
1.99067333898716e-01	(-5.04365555069876e+02dB,7.13793340278202e-02°)
1.99526231496885e-01	(-5.04285554958682e+02dB,7.08784235219572e-02°)
1.99986186963271e-01	(-5.04205554847587e+02dB,7.03778887396454e-02°)
2.00447202736513e-01	(-5.04125554743856e+02dB,6.98777271139291e-02°)
2.00909281260870e-01	(-5.04045554631379e+02dB,6.93779359439292e-02°)
2.01372424986236e-01	(-5.03965554526004e+02dB,6.88785126556810e-02°)
2.01836636368153e-01	(-5.03885554418116e+02dB,6.83794544878035e-02°)
2.02301917867824e-01	(-5.03805554310599e+02dB,6.78807588285415e-02°)
2.02768271952125e-01	(-5.03725554200881e+02dB,6.73824230831716e-02°)
2.03235701093619e-01	(-5.03645554096304e+02dB,6.68844445745205e-02°)
2.03704207770569e-01	(-5.03565553991795e+02dB,6.63868206577999e-02°)
2.04173794466950e-01	(-5.03485553883716e+02dB,6.58895487336263e-02°)
2.04644463672464e-01	(-5.03405553782898e+02dB,6.53926261546011e-02°)
2.05116217882553e-01	(-5.03325553680327e+02dB,6.48960502251431e-02°)
2.05589059598411e-01	(-5.03245553579451e+02dB,6.43998183955539e-02°)
2.06062991326997e-01	(-5.03165553474768e+02dB,6.39039279535196e-02°)
2.06538015581050e-01	(-5.03085553374026e+02dB,6.34083763231979e-02°)
2.07014134879101e-01	(-5.03005553274145e+02dB,6.29131608981954e-02°)
2.07491351745488e-01	(-5.02925553174182e+02dB,6.24182789950403e-02°)
2.07969668710366e-01	(-5.02845553075799e+02dB,6.19237280251774e-02°)
2.08449088309725e-01	(-5.02765552977863e+02dB,6.14295053526135e-02°)
2.08929613085400e-01	(-5.02685552880037e+02dB,6.09356083714906e-02°)
2.09411245585086e-01	(-5.02605552780431e+02dB,6.04420344276076e-02°)
2.09893988362349e-01	(-5.02525552687622e+02dB,5.99487809715580e-02°)
2.10377843976644e-01	(-5.02445552589740e+02dB,5.94558453196182e-02°)
2.10862814993325e-01	(-5.02365552489467e+02dB,5.89632248380388e-02°)
2.11348903983661e-01	(-5.02285552403944e+02dB,5.84709170608126e-02°)
2.11836113524847e-01	(-5.02205552304372e+02dB,5.79789192395222e-02°)
2.12324446200018e-01	(-5.02125552216427e+02dB,5.74872288405656e-02°)
2.12813904598267e-01	(-5.02045552116126e+02dB,5.69958431092348e-02°)
2.13304491314654e-01	(-5.01965552028592e+02dB,5.65047596662229e-02°)
2.13796208950219e-01	(-5.01885551933948e+02dB,5.60139757617301e-02°)
2.14289060112002e-01	(-5.01805551843213e+02dB,5.55234888407753e-02°)
2.14783047413050e-01	(-5.01725551753372e+02dB,5.50332962971249e-02°)
2.15278173472433e-01	(-5.01645551661427e+02dB,5.45433954613415e-02°)
2.15774440915263e-01	(-5.01565551575146e+02dB,5.40537838318323e-02°)
2.16271852372698e-01	(-5.01485551482865e+02dB,5.35644587809236e-02°)
2.16770410481966e-01	(-5.01405551397428e+02dB,5.30754177460951e-02°)
2.17270117886371e-01	(-5.01325551308582e+02dB,5.25866580801900e-02°)
2.17770977235312e-01	(-5.01245551221399e+02dB,5.20981772362932e-02°)
2.18272991184296e-01	(-5.01165551136696e+02dB,5.16099725666214e-02°)
2.18776162394951e-01	(-5.01085551046970e+02dB,5.11220415188209e-02°)
2.19280493535041e-01	(-5.01005550961217e+02dB,5.06343814981185e-02°)
2.19785987278478e-01	(-5.00925550878724e+02dB,5.01469899602571e-02°)
2.20292646305342e-01	(-5.00845550797102e+02dB,4.96598643031308e-02°)
2.20800473301886e-01	(-5.00765550710626e+02dB,4.91730018589825e-02°)
2.21309470960560e-01	(-5.00685550629326e+02dB,4.86864001521698e-02°)
2.21819641980018e-01	(-5.00605550544662e+02dB,4.82000565814143e-02°)
2.22330989065136e-01	(-5.00525550460289e+02dB,4.77139685363198e-02°)
2.22843514927026e-01	(-5.00445550383121e+02dB,4.72281334928427e-02°)
2.23357222283049e-01	(-5.00365550301563e+02dB,4.67425487920641e-02°)
2.23872113856830e-01	(-5.00285550224274e+02dB,4.62572119241980e-02°)
2.24388192378272e-01	(-5.00205550138446e+02dB,4.57721202735599e-02°)
2.24905460583574e-01	(-5.00125550060963e+02dB,4.52872713357126e-02°)
2.25423921215239e-01	(-5.00045549982040e+02dB,4.48026625175903e-02°)
2.25943577022094e-01	(-4.99965549905117e+02dB,4.43182911558831e-02°)
2.26464430759302e-01	(-4.99885549827941e+02dB,4.38341548172160e-02°)
2.26986485188378e-01	(-4.99805549751705e+02dB,4.33502508659040e-02°)
2.27509743077203e-01	(-4.99725549671155e+02dB,4.28665767173729e-02°)
